# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
141               	2.1750399987e-03	1.8189123345e-05	5.3942390446e-04	9.6423100546e-06	8.4119548036e-07
142               	2.1125426963e-03	1.8367947557e-05	5.5147420858e-04	9.5404184760e-06	8.3038189787e-07
143               	2.0514673390e-03	1.8368086754e-05	5.4943830554e-04	9.4439705008e-06	8.1991746582e-07
144               	1.9758127427e-03	1.8090414748e-05	5.3830289821e-04	9.3566609112e-06	8.0999357666e-07
145               	1.8843680016e-03	1.7682863507e-05	5.3144394332e-04	9.2777926447e-06	8.0033353863e-07
146               	1.8079031048e-03	1.7358952470e-05	5.2540773855e-04	9.2022581683e-06	7.9097828636e-07
147               	1.7589207920e-03	1.7260575760e-05	5.1313843565e-04	9.1279710765e-06	7.8199806117e-07
148               	1.7126052994e-03	1.7214895310e-05	4.9607910207e-04	9.0563732027e-06	7.7333292789e-07
149               	1.6502755614e-03	1.7135697109e-05	4.8856194421e-04	8.9863482200e-06	7.6517082141e-07
150               	1.5743958726e-03	1.7086290399e-05	4.9448128410e-04	8.9180031349e-06	7.5741393091e-07
151               	1.5138914994e-03	1.7126500761e-05	5.0762797674e-04	8.8524705110e-06	7.4990098689e-07
152               	1.4723738122e-03	1.7159904520e-05	5.1413391038e-04	8.7870720651e-06	7.4257339365e-07
153               	1.4315638174e-03	1.7044225979e-05	5.1026546614e-04	8.7222504384e-06	7.3535586422e-07
154               	1.3813363162e-03	1.6802875859e-05	5.0072375253e-04	8.6582210595e-06	7.2825797629e-07
155               	1.3095860245e-03	1.6545067965e-05	4.9148184881e-04	8.5952311568e-06	7.2123219058e-07
156               	1.2444789217e-03	1.6397273715e-05	4.8272157923e-04	8.5324107119e-06	7.1431979963e-07
157               	1.2036390481e-03	1.6350077224e-05	4.7399413901e-04	8.4691189018e-06	7.0765384453e-07
158               	1.1638969207e-03	1.6295965824e-05	4.6881214773e-04	8.4065781420e-06	7.0117685390e-07
159               	1.1070913609e-03	1.6231270543e-05	4.7069045737e-04	8.3451187741e-06	6.9488346694e-07
160               	1.0344154978e-03	1.6220885244e-05	4.7769440916e-04	8.2843059456e-06	6.8865931471e-07
161               	9.7499463366e-04	1.6242449202e-05	4.8237120409e-04	8.2274567383e-06	6.8255096437e-07
162               	9.3537338837e-04	1.6200690985e-05	4.8103287614e-04	8.1747710604e-06	6.7660487568e-07
163               	8.9249425304e-04	1.6079998292e-05	4.7433882190e-04	8.1280029686e-06	6.7070770168e-07
164               	8.3498578877e-04	1.5917924076e-05	4.6477027755e-04	8.0816040027e-06	6.6496404730e-07
165               	7.6365287162e-04	1.5784770226e-05	4.5541551822e-04	8.0351006320e-06	6.5934303828e-07
166               	7.1240916116e-04	1.5709892525e-05	4.4827262335e-04	7.9883285589e-06	6.5385044527e-07
167               	6.7413232765e-04	1.5659558293e-05	4.4362437996e-04	7.9411802516e-06	6.4848416087e-07
168               	6.3483047054e-04	1.5613381040e-05	4.4231951185e-04	7.8938983783e-06	6.4323432825e-07
169               	5.8449380695e-04	1.5586628526e-05	4.4453589583e-04	7.8471753056e-06	6.3811607438e-07
170               	5.3042335752e-04	1.5579005925e-05	4.4703876057e-04	7.8024709266e-06	6.3297406123e-07
171               	4.9156847080e-04	1.5481736355e-05	4.5049264175e-04	7.7543129517e-06	6.2835639958e-07
172               	4.6367008248e-04	1.5408439907e-05	4.4475167298e-04	7.7070841011e-06	6.2311202548e-07
173               	4.3649191877e-04	1.5315006620e-05	4.3352501232e-04	7.6623403563e-06	6.1778416528e-07
174               	4.0184017879e-04	1.5229261293e-05	4.2252879711e-04	7.6195940553e-06	6.1278671664e-07
175               	3.6460927931e-04	1.5178475503e-05	4.1663259657e-04	7.5774089174e-06	6.0832384421e-07
176               	3.4162826678e-04	1.5142980241e-05	4.1582666649e-04	7.5352777900e-06	6.0394881231e-07
177               	3.2514808990e-04	1.5093783451e-05	4.1724860531e-04	7.4922765163e-06	5.9944910914e-07
178               	3.0965023046e-04	1.5041469044e-05	4.1828526406e-04	7.4493334873e-06	5.9469080632e-07
179               	2.8980069916e-04	1.4989666472e-05	4.1591931193e-04	7.4074081893e-06	5.8988782495e-07
180               	2.7016527619e-04	1.4924958821e-05	4.0947712422e-04	7.3657531003e-06	5.8524240880e-07
181               	2.5848096283e-04	1.4849329497e-05	4.0209887348e-04	7.3243226113e-06	5.8082595971e-07
182               	2.5279553059e-04	1.4776209879e-05	3.9627424947e-04	7.2842463741e-06	5.7659620084e-07
183               	2.4497716098e-04	1.4704292731e-05	3.9209402352e-04	7.2440742413e-06	5.7239684121e-07
184               	2.3373462296e-04	1.4631748724e-05	3.9070625557e-04	7.2054333531e-06	5.6819011700e-07
185               	2.2227725912e-04	1.4577116455e-05	3.9083516942e-04	7.1680907310e-06	5.6394921623e-07
186               	2.1834072952e-04	1.4543799582e-05	3.8984551598e-04	7.1340060391e-06	5.5972483233e-07
187               	2.1373753463e-04	1.4509625483e-05	3.8687701519e-04	7.1017028012e-06	5.5557457694e-07
188               	2.0899836859e-04	1.4455426404e-05	3.8255991260e-04	7.0695976193e-06	5.5155462489e-07
189               	2.0133272311e-04	1.4382206197e-05	3.7787270579e-04	7.0375283234e-06	5.4760278641e-07
190               	1.9441906437e-04	1.4303821530e-05	3.7381033160e-04	7.0054052960e-06	5.4363988806e-07
191               	1.9027281503e-04	1.4234462408e-05	3.7091799222e-04	6.9735331697e-06	5.3970645961e-07
192               	1.8569711884e-04	1.4180078435e-05	3.6896665509e-04	6.9415392548e-06	5.3579938024e-07
193               	1.8006680745e-04	1.4136737048e-05	3.6710471388e-04	6.9098126583e-06	5.3190663454e-07
194               	1.7315790887e-04	1.4096010829e-05	3.6490289410e-04	6.8784865935e-06	5.2805585673e-07
195               	1.6734520301e-04	1.4049705970e-05	3.6229086209e-04	6.8481592025e-06	5.2432228128e-07
196               	1.6256049957e-04	1.3953762627e-05	3.5922693888e-04	6.8160676536e-06	5.2070375873e-07
197               	1.5825847692e-04	1.3934268289e-05	3.5675836431e-04	6.7856082033e-06	5.1695233708e-07
198               	1.5207850531e-04	1.3846900261e-05	3.5277664133e-04	6.7544492876e-06	5.1340270749e-07
199               	1.4606639465e-04	1.3788359844e-05	3.4999360577e-04	6.7235257889e-06	5.0986573402e-07
200               	1.3964276423e-04	1.3749075358e-05	3.4815657397e-04	6.6927481691e-06	5.0640820882e-07
201               	1.3504714913e-04	1.3711264293e-05	3.4661791111e-04	6.6620220893e-06	5.0298682996e-07
202               	1.3134600980e-04	1.3664463791e-05	3.4430497940e-04	6.6310777066e-06	4.9959444041e-07
203               	1.2614201919e-04	1.3608109462e-05	3.4123349633e-04	6.5999876701e-06	4.9623952132e-07
204               	1.2018376152e-04	1.3547449354e-05	3.3833606691e-04	6.5693938178e-06	4.9290572100e-07
205               	1.1599484171e-04	1.3488323088e-05	3.3586257891e-04	6.5392025013e-06	4.8957197764e-07
206               	1.1234060763e-04	1.3434058624e-05	3.3379049437e-04	6.5090602698e-06	4.8627679376e-07
207               	1.0788239592e-04	1.3384899147e-05	3.3183332128e-04	6.4788315543e-06	4.8301344254e-07
